Token: (22.0) at (2051.193359375, 292.8307357262805, 2224.791015625, 352.2106029596977)
Token: a at (4266.84765625, 238.01855058774146, 4385.625, 343.07523876994117)
Token: L2 at (1685.724609375, 397.88742390848023, 1745.11328125, 448.1319269521411)
Token: 18. at (2055.76171875, 388.7520597187237, 2137.9921875, 443.56424485726274)
Token: 4 at (2128.85546875, 393.31974181360204, 2174.5390625, 438.99656276238454)
Token: +0.2 at (2156.265625, 384.18437762384553, 2284.1796875, 448.1319269521411)
Token: d at (1690.29296875, 438.99656276238454, 1740.544921875, 512.0794762804367)
Token: 5O at (2064.8984375, 470.97033742653235, 2124.287109375, 516.6471583753149)
Token: LO at (1694.861328125, 512.0794762804367, 1735.9765625, 548.6209330394627)
Token: a at (1767.955078125, 498.3764299958018, 1818.20703125, 557.7562972292192)
Token: 9 at (2078.603515625, 521.214840470193, 2110.58203125, 576.0270256087321)
Token: o at (1763.38671875, 539.4855688497062, 1809.0703125, 608.0008002728799)
Token: 0 at (1690.29296875, 553.1886151343408, 1740.544921875, 626.2715286523929)
Token: O at (2078.603515625, 585.1623897984887, 2110.58203125, 621.7038465575146)
Token: O at (2078.603515625, 635.4068928421495, 2110.58203125, 681.083713790932)
Token: L at (1557.810546875, 726.7605347397146, 1608.0625, 790.7080840680101)
Token: ISOMETRIC at (4052.134765625, 713.0574884550798, 4294.2578125, 772.4373556884971)
Token: VIEW at (4298.826171875, 708.4898063602014, 4426.740234375, 772.4373556884971)
Token: 2XR1.0 at (2188.244140625, 786.1404019731317, 2370.978515625, 845.5202692065492)
Token: NOT at (4070.408203125, 767.8696735936188, 4161.775390625, 818.1141766372796)
Token: TO at (4175.48046875, 767.8696735936188, 4244.005859375, 818.1141766372796)
Token: SCALE at (4253.142578125, 767.8696735936188, 4394.76171875, 818.1141766372796)
Token: 3.8 at (1589.7890625, 977.9830499580183, 1681.15625, 1028.227553001679)
Token: +0. at (1667.451171875, 977.9830499580183, 1758.818359375, 1028.227553001679)
Token: 5 at (1740.544921875, 973.4153678631403, 1790.796875, 1028.227553001679)
Token: 14.3+0. at (2032.919921875, 973.4153678631403, 2238.49609375, 1032.7952350965575)
Token: 1 at (2224.791015625, 977.9830499580183, 2256.76953125, 1019.0921888119228)
Token: 0 at (2366.41015625, 959.7123215785055, 2398.388671875, 991.6860962426532)
Token: O at (2361.841796875, 1023.6598709068011, 2402.95703125, 1060.201327665827)
Token: 0 at (2370.978515625, 1069.3366918555835, 2402.95703125, 1101.3104665197313)
Token: TOP at (1845.6171875, 1329.694571263644, 1941.552734375, 1384.5067564021829)
Token: VIEW at (1946.12109375, 1325.1268891687657, 2069.466796875, 1389.0744384970612)
Token: R35.0+0.5 at (2042.056640625, 1448.4543057304786, 2311.58984375, 1512.4018550587741)
Token: R32.0: at (2055.76171875, 1562.646358102435, 2220.22265625, 1626.5939074307305)
Token: +0.5 at (2192.8125, 1562.646358102435, 2325.294921875, 1626.5939074307305)
Token: 4 at (1859.322265625, 1635.729271620487, 1886.732421875, 1663.1353641897563)
Token: R26.0+0.5 at (2069.466796875, 1663.1353641897563, 2334.431640625, 1722.5152314231739)
Token: NOTES: at (114.208984375, 1713.3798672334171, 242.123046875, 1759.0566881821997)
Token: (UNLESS at (251.259765625, 1713.3798672334171, 392.87890625, 1759.0566881821997)
Token: OTHERWISE at (392.87890625, 1713.3798672334171, 575.61328125, 1759.0566881821997)
Token: SPECIFIED) at (575.61328125, 1713.3798672334171, 772.052734375, 1759.0566881821997)
Token: CONTROL at (205.576171875, 1786.4627807514692, 351.763671875, 1836.70728379513)
Token: ITEM: at (360.900390625, 1786.4627807514692, 461.404296875, 1836.70728379513)
Token: THIS at (465.97265625, 1786.4627807514692, 561.908203125, 1832.1396017002521)
Token: SYMBOL at (557.33984375, 1786.4627807514692, 685.25390625, 1836.70728379513)
Token: IDENTIFIES at (685.25390625, 1781.8950986565912, 895.3984375, 1841.2749658900084)
Token: SIGNIFICANT at (886.26171875, 1786.4627807514692, 1105.54296875, 1832.1396017002521)
